LDEV_IOPS02.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:00X(X30-1)","00:02:05X(X509-1)","00:02:08X(X312-1)","00:02:09X(X611-1)","00:02:0AX(X665-1)","00:02:0BX(X717-1)","00:02:10X(X510-1)","00:02:11X(X511-1)","00:02:12X(X512-1)","00:02:13X(X513-1)","00:02:14X(X514-1)","00:02:15X(X515-1)","00:02:16X(X516-1)","00:02:17X(X517-1)","00:02:18X(X518-1)","00:02:19X(X519-1)","00:02:1AX(X520-1)","00:02:1BX(X521-1)","00:02:1CX(X522-1)","00:02:1DX(X523-1)","00:02:1EX(X524-1)","00:02:1FX(X525-1)","00:02:20X(X526-1)","00:02:21X(X527-1)","00:02:24(11-8)","00:02:25(11-8)","00:02:26(11-8)","00:02:27(11-8)","00:02:28(11-8)","00:02:29(11-8)","00:02:2A(11-8)","00:02:2B(11-8)","00:02:2C(11-9)","00:02:2D(11-9)","00:02:2E(11-9)","00:02:2F(11-9)","00:02:30(11-9)","00:02:31(11-9)","00:02:32(11-9)","00:02:33(11-9)","00:02:34(11-9)","00:02:35(11-9)","00:02:36(11-9)","00:02:37(11-9)","00:02:38(11-9)","00:02:39(11-9)","00:02:3A(11-9)","00:02:3B(11-9)","00:02:3C(11-9)","00:02:3D(11-9)","00:02:3E(11-9)","00:02:3F(11-9)","00:02:40(11-7)","00:02:41(11-7)","00:02:42X(X528-1)","00:02:43X(X191-1)","00:02:46(11-7)","00:02:DAX(X529-1)","00:02:E3X(X530-1)","00:02:E4X(X531-1)","00:02:E5X(X532-1)","00:02:EDX(X21-1)","00:02:EEX(X22-1)","00:02:EFX(X23-1)","00:02:F9X(X33-1)","00:02:FBX(X533-1)","00:02:FCX(X534-1)","00:02:FDX(X535-1)","00:02:FEX(X536-1)","00:02:FFX(X539-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,11,11,11,11,1
"8","2014/04/01 18:03",0,0,0,0,0,0,2,0,0,3,1,0,3,1,0,1,0,0,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,16,0,0,0,0,11,12,12,12,1
"9","2014/04/01 18:08",0,1,0,0,0,0,4,1,1,1,1,1,2,2,1,1,1,1,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,9,0,0,0,0,10,12,12,12,1
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,8,11,11,11,1
"11","2014/04/01 18:18",0,1,0,0,0,0,1,1,1,2,4,1,1,2,2,1,1,1,1,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,6,0,0,0,0,8,12,12,11,1
"12","2014/04/01 18:23",0,2,0,0,0,0,1,1,1,1,1,1,1,2,1,1,2,3,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7,0,0,0,0,9,11,11,11,1
"13","2014/04/01 18:28",0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,11,11,11,1
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,0,0,0,0,10,12,12,12,0
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,12,12,12,1
"16","2014/04/01 18:43",0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,2,0,1,1,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,9,11,11,11,1
"17","2014/04/01 18:48",0,1,0,0,0,0,1,1,1,2,1,1,1,1,3,2,1,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,13,0,0,0,0,13,12,12,12,1
"18","2014/04/01 18:53",0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7,0,0,0,0,9,11,12,11,1
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,12,11,11,12,1
"20","2014/04/01 19:03",0,0,0,0,0,0,1,1,0,3,0,0,2,0,0,2,0,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,3,1,1,6,0,0,0,0,8,12,12,12,1
"21","2014/04/01 19:08",0,1,0,0,0,0,1,2,1,1,1,1,2,1,1,1,1,1,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,10,0,0,0,0,9,11,11,11,1
"22","2014/04/01 19:13",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,9,11,12,11,1
"23","2014/04/01 19:18",0,1,0,0,0,0,2,1,1,2,1,1,2,2,2,1,1,2,1,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1,7,0,0,0,1,9,12,12,12,0
"24","2014/04/01 19:23",0,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,8,0,0,0,1,9,11,11,11,1
"25","2014/04/01 19:28",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,1,10,12,12,12,0
"26","2014/04/01 19:33",0,2,0,0,0,0,2,2,2,4,3,7,3,2,1,1,1,2,6,5,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,2,1,7,0,0,0,1,11,12,12,11,1
"27","2014/04/01 19:38",0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,9,11,11,11,1
"28","2014/04/01 19:43",0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,1,9,11,11,11,1
"29","2014/04/01 19:48",0,4,0,0,0,0,4,5,5,5,4,4,5,4,5,4,4,4,4,8,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,4,1,6,0,0,0,1,8,12,12,12,1
"30","2014/04/01 19:53",0,5,0,0,0,0,4,3,3,4,3,4,3,3,3,4,3,3,3,7,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,1,40,0,0,0,1,9,11,11,11,1
"31","2014/04/01 19:58",0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7,0,0,0,1,34,12,12,12,1
"32","2014/04/01 20:03",0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,1,1,0,1,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,10,0,0,0,1,12,12,12,12,1
"33","2014/04/01 20:08",0,1,0,0,0,0,1,4,1,2,1,1,1,1,1,1,1,1,2,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,10,0,0,0,2,11,12,12,12,1
"34","2014/04/01 20:13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,24,11,11,11,1
"35","2014/04/01 20:18",0,2,0,0,0,0,2,1,1,4,1,1,1,2,2,2,1,2,1,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,9,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,2,0,8,0,0,0,2,14,12,12,12,1
"36","2014/04/01 20:23",0,2,0,0,0,0,2,2,1,3,1,1,1,1,1,1,1,1,1,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,11,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,1,8,0,0,0,0,9,12,12,12,1
"37","2014/04/01 20:28",0,1,0,0,0,0,1,3,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,6,0,0,13,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,6,0,0,0,1,9,11,11,11,1
"38","2014/04/01 20:33",0,2,0,0,0,0,2,2,2,5,2,4,2,3,2,3,2,2,2,6,5,2,2,8,0,0,0,0,0,0,0,0,0,0,2,0,0,11,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5,3,1,7,0,0,0,0,10,12,12,12,1
"39","2014/04/01 20:38",0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,1,0,8,0,0,0,0,9,12,12,12,1
"40","2014/04/01 20:43",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,12,12,12,1
"41","2014/04/01 20:48",0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,3,0,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,11,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,6,0,0,0,0,10,12,12,11,1
"42","2014/04/01 20:53",0,3,0,0,0,0,4,3,2,3,2,3,3,2,2,4,2,3,2,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,14,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,2,1,7,0,0,0,0,9,12,12,12,1
